role,video_id,scenario,method,horizon_ms,source_count,reference_count,reference_without_output,penalized_rmse,penalized_p95_frame_rmse,conditional_output_rmse,output_count,prediction_count,fallback_count,no_output_count,deadline_miss_count,output_coverage,prediction_coverage,on_time_prediction_rate_all_sources,reasons,remaining_lookahead_p05_ms,candidate_ready_latency_p50_ms,candidate_ready_latency_p95_ms,candidate_ready_latency_max_ms,prediction_queue_p95_ms,per_channel_jump_p95,per_channel_jump_max,reference_transition_count,matched_transitions,missed_transitions,unmatched_prediction_transitions,transition_lag_median_ms,transition_abs_lag_p95_ms
development_validation,V1,algorithm_only,hold_channels,50,300,298,0,0.01453192938686134,0.01967987442678562,0.01453192938686134,300,300,0,0,0,1.0,1.0,1.0,{},50.0,0.0,0.0,0.0,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,32.0,32.02999999999956
development_validation,V1,algorithm_only,hold_channels,100,300,296,0,0.031922527351624604,0.03781144583979793,0.031922527351624604,300,300,0,0,0,1.0,1.0,1.0,{},100.0,0.0,0.0,0.0,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,80.6833333333334,94.52833333333328
development_validation,V1,algorithm_only,hold_channels,150,300,295,0,0.03916276927189955,0.059437715770364226,0.03916276927189955,300,300,0,0,0,1.0,1.0,1.0,{},150.0,0.0,0.0,0.0,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,119.95000000000027,127.28500000000035
development_validation,V1,algorithm_only,hold_pose,50,300,298,0,0.01453192938686134,0.01967987442678562,0.01453192938686134,300,300,0,0,0,1.0,1.0,1.0,{},50.0,0.0,0.0,0.0,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,0,15.983333333333576,30.368333333333794
development_validation,V1,algorithm_only,hold_pose,100,300,296,0,0.031922527351624604,0.03781144583979793,0.031922527351624604,300,300,0,0,0,1.0,1.0,1.0,{},100.0,0.0,0.0,0.0,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,0,64.66666666666697,65.23666666666686
development_validation,V1,algorithm_only,hold_pose,150,300,295,0,0.03916276927189955,0.059437715770364226,0.03916276927189955,300,300,0,0,0,1.0,1.0,1.0,{},150.0,0.0,0.0,0.0,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,0,103.93333333333385,111.01333333333355
development_validation,V1,algorithm_only,linear_pose_w2,50,300,298,0,0.010459528129507761,0.010939347428456741,0.010459528129507761,300,298,2,0,0,1.0,0.9933333333333333,0.9933333333333333,"{""history_warmup"": 2}",50.0,0.0,0.0,0.0,0.0,"[0.02265751832010146, 0.018790638087430558, 0.02873432672644421, 0.024978919094111315, 0.024536103669776932, 0.023117522346154617, 0.02514079576932289, 0.016897128994476526, 0.004474987971908703]","[0.16909582386561994, 0.14859878244041042, 0.19910132529378344, 0.22272195685002733, 0.22732991876946607, 0.23139005708085714, 0.22661734306339526, 0.24672566646894373, 0.04139486376643678]",2,2,0,2,15.983333333333576,30.368333333333794
development_validation,V1,algorithm_only,linear_pose_w2,100,300,296,0,0.030008198803760277,0.022405936282772494,0.030008198803760277,300,298,2,0,0,1.0,0.9933333333333333,0.9933333333333333,"{""history_warmup"": 2}",100.0,0.0,0.0,0.0,0.0,"[0.03521934801845803, 0.03024254174724566, 0.056473584989012976, 0.05819367376748755, 0.0565172702926293, 0.06432801743063918, 0.03648841548308202, 0.03519722437975419, 0.007571423161632405]","[0.25310053811197797, 0.23101378998521432, 0.28719037623070276, 0.29228758237928987, 0.4837026568231256, 0.48284761795908127, 0.40952822063224736, 0.3634781511243622, 0.06128536176178018]",2,2,0,8,-23.25,44.175
development_validation,V1,algorithm_only,linear_pose_w2,150,300,295,0,0.04245234269353272,0.0403833570394408,0.04245234269353272,300,298,2,0,0,1.0,0.9933333333333333,0.9933333333333333,"{""history_warmup"": 2}",150.0,0.0,0.0,0.0,0.0,"[0.05463889579492429, 0.039777990165274876, 0.10035443919867965, 0.10919428680722695, 0.09599590460100224, 0.09313742432288737, 0.05446956299494747, 0.05073551105576594, 0.010631041058924819]","[0.45653984473094544, 0.3758899287330243, 0.531033461807106, 0.5624960552885065, 0.6921083443415671, 0.6919785136593509, 0.6157308728905195, 0.589535040528551, 0.11374662354437313]",2,2,0,10,-15.983333333333121,30.368333333332927
development_validation,V1,algorithm_only,linear_pose_w4,50,300,298,0,0.011661241724673947,0.009119041286361413,0.011661241724673947,300,296,4,0,0,1.0,0.9866666666666667,0.9866666666666667,"{""history_warmup"": 4}",50.0,0.0,0.0,0.0,0.0,"[0.015428493745584266, 0.012629294192352642, 0.020304911299744505, 0.01838277822098497, 0.01907479364000696, 0.01746029472139401, 0.015809704031780003, 0.012418196006972101, 0.0033491761496353993]","[0.20713751820872883, 0.18557130100818786, 0.23770873914467586, 0.2615351306651064, 0.23224393702264468, 0.25804722670780933, 0.27623668917761124, 0.30220570472951014, 0.05042970759425314]",2,2,0,1,15.983333333333576,30.368333333333794
development_validation,V1,algorithm_only,linear_pose_w4,100,300,296,0,0.03313148046325254,0.02377456329028151,0.03313148046325254,300,296,4,0,0,1.0,0.9866666666666667,0.9866666666666667,"{""history_warmup"": 4}",100.0,0.0,0.0,0.0,0.0,"[0.02387913979892389, 0.016385610836700624, 0.030579935434313147, 0.029507064760617555, 0.02744017897870568, 0.026036114000949132, 0.028475410501414274, 0.026242495790555966, 0.005009407465082788]","[0.17130870046654667, 0.14824925592816557, 0.20867673990589686, 0.23288479181841545, 0.20468465779696876, 0.2308305338451305, 0.23007693114701389, 0.2492242892988677, 0.042116513406903616]",2,2,0,4,32.65000000000009,62.03500000000017
development_validation,V1,algorithm_only,linear_pose_w4,150,300,295,0,0.04515367951234687,0.042697249920704734,0.04515367951234687,300,296,4,0,0,1.0,0.9866666666666667,0.9866666666666667,"{""history_warmup"": 4}",150.0,0.0,0.0,0.0,0.0,"[0.027148285421318304, 0.020044813821583553, 0.0478883808550321, 0.04989669443988266, 0.03890179486405581, 0.04116137509178482, 0.03324447107175212, 0.03180699220508831, 0.0056422836046713925]","[0.1563161336113802, 0.13078145649629186, 0.1973534083960269, 0.22206088658672465, 0.219370509564909, 0.24318883594799917, 0.3309999702013518, 0.22619312738019254, 0.038782986505821904]",2,2,0,6,55.90000000000009,106.21000000000016
development_validation,V1,algorithm_only,linear_pose_w8,50,300,298,0,0.013239771269962772,0.014129609768908803,0.013239771269962772,300,294,6,0,0,1.0,0.98,0.98,"{""history_warmup"": 6}",50.0,0.0,0.0,0.0,0.0,"[0.01526132181854663, 0.013964943267356268, 0.021707508279791843, 0.019116318624219544, 0.017072027647403464, 0.017422285504323804, 0.01932714090535917, 0.013440438627939639, 0.0037239848712950136]","[0.1613515698303441, 0.14585148503578235, 0.17494710471948555, 0.18984180080263463, 0.17171388349803685, 0.18767017049810253, 0.2221282376385075, 0.23860304400400034, 0.039180768179262276]",2,2,0,5,15.983333333333576,30.368333333333794
development_validation,V1,algorithm_only,linear_pose_w8,100,300,296,0,0.035369879910027185,0.030772624908522322,0.035369879910027185,300,294,6,0,0,1.0,0.98,0.98,"{""history_warmup"": 6}",100.0,0.0,0.0,0.0,0.0,"[0.017390160042484535, 0.013078062746852784, 0.03612342540058646, 0.03792057718361148, 0.02305740778631743, 0.02482617709414797, 0.02077115478364982, 0.013980240771705085, 0.0040288744543566565]","[0.16528318167298645, 0.15054242960887007, 0.1976286447067761, 0.2197759652820809, 0.1907326317699949, 0.21422219577855578, 0.22366907514810447, 0.23822836945157266, 0.04027328234267463]",2,2,0,2,-87.29999999999995,165.8699999999999
